"Series,""Date"",""Value"""
"Y for Smartbrick 141425,""2022-03-09 05:53:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 06:03:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 06:13:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 06:23:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 06:33:01"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 06:43:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 06:53:02"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 07:03:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 07:13:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 07:23:01"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 07:33:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 07:43:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 07:53:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 08:03:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 08:13:00"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 08:23:00"",""1.66015625"""
"Y for Smartbrick 141425,""2022-03-09 08:33:00"",""1.66015625"""
"Y for Smartbrick 141425,""2022-03-09 08:43:00"",""1.66015625"""
"Y for Smartbrick 141425,""2022-03-09 08:53:00"",""1.66015625"""
"Y for Smartbrick 141425,""2022-03-09 09:03:00"",""1.65405273"""
"Y for Smartbrick 141425,""2022-03-09 09:13:01"",""1.66015625"""
"Y for Smartbrick 141425,""2022-03-09 09:23:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 09:33:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 09:43:00"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-09 09:53:00"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-09 10:03:00"",""1.69677734"""
"Y for Smartbrick 141425,""2022-03-09 10:13:01"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-09 10:23:00"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-09 10:33:01"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 10:43:00"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-09 10:53:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 11:03:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 11:13:00"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-09 11:23:00"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-09 11:33:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 11:43:00"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-09 11:53:00"",""1.69067383"""
"Y for Smartbrick 141425,""2022-03-09 12:03:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 12:23:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 12:33:00"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 12:43:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 12:53:01"",""1.68457031"""
"Y for Smartbrick 141425,""2022-03-09 13:03:02"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 13:13:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 13:23:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 13:33:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 13:43:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 13:53:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 14:03:00"",""1.6784668"""
"Y for Smartbrick 141425,""2022-03-09 14:13:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 14:23:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 14:33:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 14:43:00"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 14:53:00"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 15:03:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 15:13:00"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 15:23:01"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 15:33:02"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 15:43:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 15:53:00"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 16:03:01"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 16:13:06"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 16:23:00"",""1.67236328"""
"Y for Smartbrick 141425,""2022-03-09 16:33:00"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 16:43:02"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 16:53:00"",""1.66015625"""
"Y for Smartbrick 141425,""2022-03-09 17:03:00"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 17:13:00"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 17:23:00"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 17:33:00"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 17:43:00"",""1.66625977"""
"Y for Smartbrick 141425,""2022-03-09 17:53:00"",""1.66015625"""
"Y for Smartbrick 141425,""2022-03-09 18:03:01"",""1.65405273"""
"Y for Smartbrick 141425,""2022-03-09 18:13:00"",""1.66015625"""
"Y for Smartbrick 141425,""2022-03-09 18:23:01"",""1.65405273"""
"Y for Smartbrick 141425,""2022-03-09 18:33:00"",""1.64794922"""
"Y for Smartbrick 141425,""2022-03-09 18:43:00"",""1.64794922"""
"Y for Smartbrick 141425,""2022-03-09 18:53:00"",""1.64794922"""
