"Series,""Date"",""Value"""
"Temperature for Smartbrick 141419,""2022-03-09 07:01:23"",""1.4"""
"Temperature for Smartbrick 141419,""2022-03-09 07:11:23"",""1.3"""
"Temperature for Smartbrick 141419,""2022-03-09 07:21:23"",""1.3"""
"Temperature for Smartbrick 141419,""2022-03-09 07:31:26"",""1.4"""
"Temperature for Smartbrick 141419,""2022-03-09 07:51:22"",""2"""
"Temperature for Smartbrick 141419,""2022-03-09 08:11:23"",""1.9"""
"Temperature for Smartbrick 141419,""2022-03-09 08:51:28"",""3.1"""
"Temperature for Smartbrick 141419,""2022-03-09 09:01:23"",""3.3"""
"Temperature for Smartbrick 141419,""2022-03-09 09:11:23"",""3.7"""
"Temperature for Smartbrick 141419,""2022-03-09 09:21:27"",""3.9"""
"Temperature for Smartbrick 141419,""2022-03-09 09:31:23"",""4.1"""
"Temperature for Smartbrick 141419,""2022-03-09 09:41:23"",""4.3"""
"Temperature for Smartbrick 141419,""2022-03-09 10:21:49"",""5.8"""
"Temperature for Smartbrick 141419,""2022-03-09 10:41:22"",""6"""
"Temperature for Smartbrick 141419,""2022-03-09 12:32:08"",""8.7"""
"Temperature for Smartbrick 141419,""2022-03-09 12:42:01"",""8.2"""
"Temperature for Smartbrick 141419,""2022-03-09 12:52:00"",""8.3"""
"Temperature for Smartbrick 141419,""2022-03-09 13:02:03"",""8.4"""
"Temperature for Smartbrick 141419,""2022-03-09 13:12:03"",""8.5"""
"Temperature for Smartbrick 141419,""2022-03-09 13:22:01"",""8.7"""
"Temperature for Smartbrick 141419,""2022-03-09 13:32:00"",""8.9"""
"Temperature for Smartbrick 141419,""2022-03-09 13:42:00"",""9.1"""
"Temperature for Smartbrick 141419,""2022-03-09 13:52:13"",""9.2"""
"Temperature for Smartbrick 141419,""2022-03-09 14:02:18"",""9.5"""
"Temperature for Smartbrick 141419,""2022-03-09 14:12:03"",""9.8"""
"Temperature for Smartbrick 141419,""2022-03-09 14:22:14"",""9.9"""
"Temperature for Smartbrick 141419,""2022-03-09 14:32:03"",""10"""
"Temperature for Smartbrick 141419,""2022-03-09 14:42:05"",""10.1"""
"Temperature for Smartbrick 141419,""2022-03-09 15:01:59"",""10.5"""
"Temperature for Smartbrick 141419,""2022-03-09 15:12:05"",""10.5"""
"Temperature for Smartbrick 141419,""2022-03-09 15:22:01"",""10.5"""
"Temperature for Smartbrick 141419,""2022-03-09 15:32:02"",""10.5"""
"Temperature for Smartbrick 141419,""2022-03-09 15:42:04"",""10.6"""
"Temperature for Smartbrick 141419,""2022-03-09 15:52:03"",""10.6"""
"Temperature for Smartbrick 141419,""2022-03-09 16:02:02"",""10.7"""
"Temperature for Smartbrick 141419,""2022-03-09 16:12:01"",""10.7"""
"Temperature for Smartbrick 141419,""2022-03-09 16:22:00"",""10.7"""
"Temperature for Smartbrick 141419,""2022-03-09 16:32:05"",""10.7"""
"Temperature for Smartbrick 141419,""2022-03-09 16:42:04"",""10.6"""
"Temperature for Smartbrick 141419,""2022-03-09 16:52:03"",""10.6"""
"Temperature for Smartbrick 141419,""2022-03-09 17:02:02"",""10.5"""
"Temperature for Smartbrick 141419,""2022-03-09 17:12:01"",""10.4"""
"Temperature for Smartbrick 141419,""2022-03-09 17:21:59"",""10.2"""
"Temperature for Smartbrick 141419,""2022-03-09 17:32:04"",""10.1"""
"Temperature for Smartbrick 141419,""2022-03-09 17:42:05"",""9.9"""
"Temperature for Smartbrick 141419,""2022-03-09 17:52:02"",""9.8"""
"Temperature for Smartbrick 141419,""2022-03-09 18:02:01"",""9.7"""
"Temperature for Smartbrick 141419,""2022-03-09 18:12:00"",""9.4"""
"Temperature for Smartbrick 141419,""2022-03-09 18:22:05"",""9.1"""
